impl,m,n,k,time_ms,gflops,max_abs_error
cublas,512,512,512,0.06,4161.02,NA
tiled,512,512,512,0.18,1468.08,0.000152588
naive,512,512,512,0.24,1101.01,0.000152588
cublas,1024,1024,1024,0.25,8701.88,NA
tiled,1024,1024,1024,0.87,2476.43,0.000183105
naive,1024,1024,1024,1.08,1993.31,0.000183105
cublas,2048,2048,2048,1.43,12009.46,NA
tiled,2048,2048,2048,5.41,3176.15,0
naive,2048,2048,2048,9.61,1788.56,0
cublas,4096,4096,4096,11.89,11560.53,NA
tiled,4096,4096,4096,47.90,2869.11,0
naive,4096,4096,4096,84.52,1626.03,0
